table,raw_name,canonical_name,subclass
antidiabetics,Insulin Glargine-aglr,insulin,Insulins
antidiabetics,Insulin Glargine-Lixisenatide,insulin/lixisenatide,
antidiabetics,Insulin Glargine-yfgn,insulin,Insulins
antidiabetics,Insulin Glulisine,insulin,Insulins
antidiabetics,Insulin Lispro,insulin,Insulins
antidiabetics,Insulin Lispro Prot & Lispro,insulin,Insulins
antidiabetics,Insulin Lispro-aabc,insulin,Insulins
antidiabetics,Insulin NPH Human (Isophane),insulin,Insulins
antidiabetics,Insulin Regular Human,insulin,Insulins
antidiabetics,Insulin Regular(Human) in NaCl,insulin,Insulins
antidiabetics,linaGLIPtin,linagliptin,DPP4i
antidiabetics,linaGLIPtin-metFORMIN HCl,linagliptin/metformin,
antidiabetics,Liraglutide,liraglutide,GLP1RA
antidiabetics,Lixisenatide,lixisenatide,GLP1RA
antidiabetics,metFORMIN HCl,metformin,Metformin
antidiabetics,Miglitol,miglitol,TZD
antidiabetics,pioglitazone,pioglitazone,Other
antidiabetics,Pioglitazone HCl-Glimepiride,pioglitazone/glimepiride,
antidiabetics,Pioglitazone HCl-metFORMIN HCl,pioglitazone/metformin,
antidiabetics,sAXagliptin HCl,saxagliptin,DPP4i
antidiabetics,sAXagliptin-metFORMIN,saxagliptin/metformin,
antidiabetics,Semaglutide,semaglutide,Semaglutide
antidiabetics,Sitagliptin,sitagliptin,DPP4i
antidiabetics,Sitagliptin Base-Metformin HCl,sitagliptin/metformin,
antidiabetics,SITagliptin Phos-metFORMIN HCl,sitagliptin/metformin,
antidiabetics,SITagliptin Phosphate,sitagliptin,DPP4i
antidiabetics,TOLBUTamide,tolbutamide,SU
antipsychotics,ARIPiprazole,aripiprazole,
antipsychotics,ARIPiprazole (sensor),aripiprazole,
antipsychotics,ARIPiprazole Lauroxil,aripiprazole,
antipsychotics,Asenapine Maleate,asenapine,
antipsychotics,Brexpiprazole,brexpiprazole,
antipsychotics,carBAMazepine (Antipsychotic),carbamazepine,
antipsychotics,Cariprazine HCl,cariprazine,
antipsychotics,chlorproMAZINE HCl,chlorpromazine,
antipsychotics,cloZAPine,clozapine,
antipsychotics,fluPHENAZine Decanoate,fluphenazine,
antipsychotics,fluPHENAZine HCl,fluphenazine,
antipsychotics,Haloperidol,haloperidol,
antipsychotics,Haloperidol Decanoate,haloperidol,
antipsychotics,Haloperidol Lactate,haloperidol,
antipsychotics,Iloperidone,iloperidone,
antipsychotics,Lithium,lithium,
antipsychotics,Lithium Carbonate,lithium,
antipsychotics,Loxapine Succinate,loxapine,
antipsychotics,Lumateperone Tosylate,lumateperone,
antipsychotics,Lurasidone HCl,lurasidone,
antipsychotics,Molindone HCl,molindone,
antipsychotics,OLANZapine,olanzapine,
antipsychotics,Paliperidone,paliperidone,
antipsychotics,Paliperidone Palmitate,paliperidone,
antipsychotics,Perphenazine,perphenazine,
antipsychotics,Pimavanserin Tartrate,pimavanserin,
antipsychotics,Prochlorperazine,prochlorperazine,
antipsychotics,Prochlorperazine Edisylate,prochlorperazine,
antipsychotics,Prochlorperazine Maleate,prochlorperazine,
antipsychotics,QUEtiapine Fumarate,quetiapine,
antipsychotics,risperiDONE,risperidone,
antipsychotics,risperiDONE Microspheres,risperidone,
antipsychotics,Thioridazine HCl,thioridazine,
antipsychotics,Thiothixene,tiotixene,
antipsychotics,Trifluoperazine HCl,trifluoperazine,
antipsychotics,Ziprasidone HCl,ziprasidone,
antipsychotics,Ziprasidone Mesylate,ziprasidone,
hydrochlorothiazide,Aliskiren-hydroCHLOROthiazide,hydrochlorothiazide,
hydrochlorothiazide,aMILoride-hydroCHLOROthiazide,hydrochlorothiazide,
hydrochlorothiazide,amLODIPine-Valsartan-HCTZ,hydrochlorothiazide,
hydrochlorothiazide,Benazepril-hydroCHLOROthiazide,hydrochlorothiazide,
hydrochlorothiazide,Bisoprolol-hydroCHLOROthiazide,hydrochlorothiazide,
hydrochlorothiazide,Candesartan Cilexetil-HCTZ,hydrochlorothiazide,
hydrochlorothiazide,Captopril-hydroCHLOROthiazide,hydrochlorothiazide,
hydrochlorothiazide,Enalapril-hydroCHLOROthiazide,hydrochlorothiazide,
hydrochlorothiazide,Eprosartan Mesylate-HCTZ,hydrochlorothiazide,
hydrochlorothiazide,Fosinopril Sodium-HCTZ,hydrochlorothiazide,
hydrochlorothiazide,hydroCHLOROthiazide,hydrochlorothiazide,
hydrochlorothiazide,Irbesartan-hydroCHLOROthiazide,hydrochlorothiazide,
hydrochlorothiazide,Lisinopril-hydroCHLOROthiazide,hydrochlorothiazide,
hydrochlorothiazide,Losartan Potassium-HCTZ,hydrochlorothiazide,
hydrochlorothiazide,Methyldopa-hydroCHLOROthiazide,hydrochlorothiazide,
hydrochlorothiazide,Metoprolol-hydroCHLOROthiazide,hydrochlorothiazide,
hydrochlorothiazide,Moexipril-hydroCHLOROthiazide,hydrochlorothiazide,
hydrochlorothiazide,Olmesartan Medoxomil-HCTZ,hydrochlorothiazide,
hydrochlorothiazide,Olmesartan-amLODIPine-HCTZ,hydrochlorothiazide,
hydrochlorothiazide,Propranolol-HCTZ,hydrochlorothiazide,
hydrochlorothiazide,Quinapril-hydroCHLOROthiazide,hydrochlorothiazide,
hydrochlorothiazide,Spironolactone-HCTZ,hydrochlorothiazide,
hydrochlorothiazide,Telmisartan-HCTZ,hydrochlorothiazide,
hydrochlorothiazide,Triamterene-HCTZ,hydrochlorothiazide,
hydrochlorothiazide,Valsartan-hydroCHLOROthiazide,hydrochlorothiazide,
